"","X4","X16","X20","X28","X40","X48"
"Otu13",0.0116552071105148,0.00673148840688108,0.00981863396647087,0.0163847312018422,0.0128819895968791,0.0112191473448018
"Otu562",0.0028597826565181,0.000964279724970652,0.0012465719272002,0.00132916005659649,0.00115135948985918,0.00134102730819246
"Otu1789",0.000325097529258778,0.000131989968762374,0.00025155123260104,0.0002077619878667,0.000128628392573854,0.000177132229209105
"Otu47",0.00345407846957754,0.0028446033810143,0.00404769237537947,0.00293476438034546,0.00261780104712042,0.00394460403893153
"Otu50",0.0109334133687776,0.00730670445487556,0.0101186605981795,0.0178186457829205,0.0176085862820728,0.00901687027341478
"Otu763",0.00016620959029336,0.000343009046863611,0.000221415286511381,0.000162548764629389,0.000131989968762374,0.000167700821734027
"Otu77",0.00423444574878417,0.00149588631264024,0.00330146207606226,0.00509255158976176,0.00227568270481144,0.00206784284394386
"Otu1814",0.00343173918782173,0.00624685560959249,0.0037397157816006,0.00248681558976118,0.00318838012576388,0.00394180754226268
"Otu1441",8.12743823146944e-05,4.39966562541247e-05,0.000167700821734027,8.310479514668e-05,8.57522617159028e-05,0
"Otu544",0.000885661146045523,0.000365734720416125,0.000791939812574244,0.000796578903236626,0.00078949555389346,0.000814646486301076
"Otu6826",0.000128628392573854,0.000309981401115933,4.06371911573472e-05,0.000131989968762374,8.38504108670133e-05,8.310479514668e-05
"Otu204",0.00078949555389346,0.000428761308579514,0.000398547515720485,0.00113784135240572,0.000703946500065995,0.000670803286936106
"Otu91",0.00700150930739561,0.0047785257209341,0.00630279123611885,0.00518111770436631,0.00471391417425228,0.00580755862554446
"Otu226",0.00127590303136962,0.00100620493040416,0.00211917227624034,0.000771770355443125,0.00106279337525463,0.00125975292587776
"Otu706",0.000447009102730819,0.000219983281270623,0.000586952876069093,0.00054018116845342,0.000385885177721562,0.000221415286511381
"Otu1062",0.00146134089097511,0.00162548764629389,0.00197984953143561,0.00109005534127117,0.0012465719272002,0.00188654975774986
"Otu7283",0.00716031385327788,0.00628819413692321,0.00646131339401821,0.00585155528179858,0.00549220191178937,0.00714701238261448
"Otu25",0.0043630017452007,0.00891823521845389,0.00805951642901426,0.00674577373211964,0.00831536803202957,0.00620493040415898
"Otu360",0.00167700821734026,0.00049862877088008,0.00154354071088625,0.00159419006288194,0.00125975292587776,0.00101192309384487
