OTU.ID,copy number
Otu429,2
Otu430,2.859933036
Otu431,2.262443439
Otu433,2
Otu434,1
Otu435,2.219999885
Otu436,2
Otu437,1
Otu438,1.809997482
Otu439,2
Otu440,2.28050171
Otu441,2.859933036
Otu442,2.28050171
Otu443,2.680009202
Otu444,1.5
Otu445,1.480011144
Otu446,1
Otu447,1
Otu448,1.480002753
Otu449,3.976836671
Otu450,1.479999452
Otu451,2.670012224
Otu453,4.3801079
Otu454,2
Otu456,2
Otu457,2.159988083
Otu458,1.500025863
Otu459,2
Otu460,1.479986546
Otu462,1.479956245
Otu464,2.219999885
Otu465,1
Otu466,1.839989096
Otu467,2.680009202
Otu468,2.670012224
Otu469,2
Otu470,2
Otu471,1
Otu472,2.219999885
Otu473,1
Otu474,8
Otu475,1.479999452
Otu476,2.219999885
Otu477,1.479998259
Otu478,1.479956245
Otu479,2
Otu480,4.009964153
Otu481,2.229999079
Otu482,1.480011144
Otu483,1
Otu484,1.479999452
Otu485,1
Otu486,1.25
Otu487,2.219999885
Otu488,1
Otu489,1
Otu490,1.5
Otu491,2.219999885
Otu492,1.500025863
Otu493,2.399880006
Otu494,1
Otu495,1
Otu496,1.809997482
Otu497,2.920002014
Otu498,1
Otu499,1.989933279
Otu500,2.28050171
Otu501,1.989933279
Otu502,1
Otu503,2.210759027
Otu504,3.349953256
Otu505,2
Otu506,2.5
Otu507,1.809997482
Otu508,2.280010842
Otu509,1.989933279
Otu510,4.87804878
Otu511,2.219999885
Otu512,1.2300123
Otu513,2.5
Otu514,2.219999885
Otu515,1.480019734
Otu516,2
Otu518,2.5
Otu519,1.909988432
Otu520,2.219999885
Otu521,2
Otu522,2.959997262
Otu523,1
Otu524,1
Otu525,2.260037224
Otu526,2.219999885
Otu527,2.279635258
Otu528,2.159988083
Otu529,2.219999885
Otu530,1.480019734
Otu531,1
Otu534,4
Otu535,1
Otu536,2.280010842
Otu537,1.3500135
Otu538,2.219999885
Otu539,1.179941003
Otu542,1.480011144
Otu543,1
Otu544,1
Otu545,2.280010842
Otu546,3.249856624
Otu547,2.219999885
Otu548,2
Otu549,1
Otu550,2
Otu551,1.480002753
Otu552,1.480019734
Otu553,2.5
Otu554,1
Otu555,2.219999885
Otu556,2
Otu557,1
Otu558,2.219999885
Otu559,1.480019734
Otu560,1.500025863
Otu561,1.839989096
Otu562,1.5
Otu563,2
Otu564,4.3801079
Otu565,1.669982072
Otu566,2.219999885
Otu567,3.738317757
Otu568,2
Otu569,5.050505051
Otu570,2.5
Otu572,2.99850075
Otu573,2
Otu574,1.12
Otu575,1
Otu576,2.219999885
Otu577,2.219999885
Otu578,2.5
Otu579,1.12
Otu580,2
Otu581,3.670473083
Otu582,2
Otu583,1
Otu584,2.959997262
Otu585,1.480019734
Otu586,1
Otu587,1.480002753
Otu588,2
Otu589,2
Otu590,7.490636704
Otu591,1.479956245
Otu592,2.229999079
Otu593,1
Otu594,1.479999452
Otu595,2
Otu596,2.280010842
Otu597,2.219999885
Otu599,2.219999885
Otu601,1
Otu603,2
Otu604,3.349953256
Otu605,2.5
Otu606,1.669982072
Otu609,2.5
Otu610,4
Otu611,2.280010842
Otu612,4.009964153
Otu613,1.5
Otu614,2.219999885
Otu615,1.480002753
Otu616,1.480011144
Otu617,1
Otu618,2
Otu619,4
Otu620,1.479956245
Otu621,2.920002014
Otu622,4.87804878
Otu624,8
Otu625,1
Otu626,1.670046523
Otu628,2.219999885
Otu629,1.669982072
Otu631,2
Otu632,2
Otu633,2
Otu634,1.480011144
Otu635,2.219999885
Otu636,2.219999885
Otu637,2
Otu638,1
Otu639,1.12
Otu640,2.219999885
Otu641,1
Otu643,2.219999885
Otu644,1
Otu645,2.220051505
Otu646,1.3500135
Otu647,1.500025863
Otu648,1.669913721
Otu649,2.859933036
Otu650,2.980181791
Otu651,2.669952762
Otu652,1.479999452
Otu653,1.669982072
Otu654,1.480002753
Otu655,1.479998259
Otu656,4
Otu657,1
Otu658,2.219999885
Otu659,1.480019734
Otu660,1.839989096
Otu661,2
Otu662,1.669982072
Otu663,2.41984271
Otu664,2.219999885
Otu665,2.920002014
Otu666,2.219999885
Otu667,2
Otu668,1.479986546
Otu669,2.219999885
Otu670,1.480011144
Otu671,1
Otu673,2.670012224
Otu675,3.000428633
Otu677,1.479986546
Otu678,1.479986546
Otu679,1.670046523
Otu680,2.920002014
Otu681,1.25
Otu682,1.480011144
Otu683,2
Otu684,1
Otu685,2.280010842
Otu686,1.12
Otu687,1
Otu688,1.479999452
Otu691,2.229999079
Otu692,2
Otu693,1.500025863
Otu694,2.279635258
Otu695,2.670012224
Otu696,2.219999885
Otu697,1
Otu698,1
Otu699,2
Otu700,4.494382022
Otu701,2.959997262
Otu702,5
Otu703,2.260037224
Otu704,1.670046523
Otu705,2.219999885
Otu707,1.479999452
Otu708,2.669952762
Otu709,2
Otu710,2.219999885
Otu711,4
Otu712,1.480019734
Otu713,2.219999885
Otu714,2.060035315
Otu715,2.959997262
Otu716,1.12
Otu717,1.670046523
Otu718,1.670046523
Otu719,1.499250375
Otu720,1
Otu721,2.5
Otu722,2.680009202
Otu724,1.480011144
Otu725,3.720930233
Otu726,2
Otu727,1
Otu728,1.47996357
Otu729,1
Otu730,2.219999885
Otu731,1.479956245
Otu732,2
Otu733,2.219999885
Otu734,1.479999452
Otu735,2.219999885
Otu736,1.479999452
Otu737,4
Otu738,2
Otu739,2.219999885
Otu741,2.5
Otu742,1
Otu743,9.389671362
Otu745,1
Otu746,2
Otu747,2
Otu748,2.5
Otu749,1.480002753
Otu750,2.5
Otu751,1.839989096
Otu752,2
Otu753,1.670046523
Otu755,1.480019734
Otu756,2.670012224
Otu757,4.3801079
Otu758,2.219999885
Otu759,1.25
Otu760,2
Otu761,2
Otu762,4
Otu763,4
Otu764,1.669982072
Otu765,1.670046523
Otu766,1.500375094
Otu767,1.479956245
Otu768,8
Otu769,2.219999885
Otu770,2.159988083
Otu771,1.480011144
Otu772,1.480011144
Otu773,1
Otu774,10.6284658
Otu776,2.280010842
Otu778,3.249856624
Otu779,2.670012224
Otu780,3.349953256
Otu781,2
Otu782,2.219999885
Otu783,2.219999885
Otu785,1
Otu786,2.219999885
Otu787,3.976836671
Otu788,2.252252252
Otu789,3.976836671
Otu790,2
Otu791,2.959997262
Otu792,5.050505051
Otu793,2
Otu794,1
Otu795,2
Otu796,2.959997262
Otu797,1.25
Otu798,2.976190476
Otu799,2
Otu800,2.980181791
Otu801,1.479983227
Otu802,2.859933036
Otu803,2.41984271
Otu804,10.6284658
Otu805,2.219999885
Otu806,1.3500135
Otu807,1.479999452
Otu808,1
Otu809,1.670046523
Otu810,2.399880006
Otu811,1.479999452
Otu812,2.801120448
Otu813,3.976836671
Otu814,1.480011144
Otu815,2
Otu817,1.500025863
Otu818,1
Otu819,2.670023267
Otu820,2.059732235
Otu821,1.479999452
Otu822,3.003003003
Otu823,2.219999885
Otu824,2.919911012
Otu825,2
Otu826,2.219999885
Otu827,2
Otu828,2
Otu829,2.680009202
Otu830,1.670046523
Otu831,2
Otu832,1.479986546
Otu833,1.790510295
Otu834,1.809997482
Otu835,2
Otu836,4.009964153
Otu837,2.219999885
Otu838,2.219999885
Otu839,1.809997482
Otu840,2.219999885
Otu841,1
Otu842,2.280010842
Otu843,1
Otu844,2.219999885
Otu845,2.790178571
Otu846,3.738317757
Otu847,1.500025863
Otu848,1
Otu849,2.859933036
Otu850,2
Otu851,2.670012224
Otu852,2.921129503
Otu853,1.47996357
Otu854,1.480011144
Otu855,2
Otu856,1.480019734
Otu857,1.479986546
Otu858,1
Otu859,6.976744186
Otu860,2.670012224
Otu861,1.790510295
Otu862,2
Otu863,2.5
Otu864,5.258545136
Otu866,2.5
Otu867,2.219999885
Otu868,2.219999885
Otu869,1
Otu870,1.839989096
Otu871,1.479998259
Otu872,2
Otu873,1.479956245
Otu874,3.976836671
Otu875,1.809997482
Otu877,2
Otu878,1.669982072
Otu879,1.3500135
Otu880,2
Otu881,1
Otu882,1.479956245
Otu883,3.976836671
Otu884,1
Otu885,1.480019734
Otu886,1.670046523
Otu887,2.670012224
Otu888,1
Otu889,2.280010842
Otu890,1.669913721
Otu891,2.219999885
Otu892,2.219999885
Otu893,2.219999885
Otu894,2.219999885
Otu895,2
