,resT0,resT1,resT2,resT3,bareT0,bareT1,bareT2,bareT3,trancom,resT0,Genus0,resT1,Genus1,resT2,Genus2,resT3,Genus3,bareT0,Genus4,bareT1,Genus5,bareT2,Genus6,bareT3,Genus7,,,,OTUID,Genus,OTUID,Genus,OTUID,Genus,OTUID,Genus
26,,,,,,,,,trancom,Otu3675,Gemmatimonas,Otu1328,Unrecognized,Otu1121,Unrecognized,Otu599,Unrecognized,Otu2432,Unrecognized,Otu49,RB41,,,Otu2133,Gemmatirosa,,,,Otu2432,Unrecognized,Otu49,RB41,Otu6464,Gemmata,Otu2133,Gemmatirosa
27,,,,,,,,,trancom,Otu4204,Unrecognized,Otu2120,Unrecognized,Otu1845,Terrimonas,Otu1539,Unrecognized,Otu4248,Unrecognized,Otu189,Acidibacter,,,Otu6693,Hyphomicrobium,,,,Otu4248,Unrecognized,Otu189,Acidibacter,Otu1161,Unrecognized,Otu6693,Hyphomicrobium
28,,,,,,,,,trancom,Otu2540,Unrecognized,Otu2889,Unrecognized,Otu6920,Unrecognized,Otu1528,Arenimonas,Otu178,Acidibacter,Otu2248,Unrecognized,,,Otu941,Planctomycetales bacterium Ellin7224,,,,Otu178,Acidibacter,Otu2248,Unrecognized,Otu2831,Unrecognized,Otu941,Planctomycetales bacterium Ellin7224
29,,,,,,,,,trancom,Otu2242,Rubrobacter,Otu3333,Unrecognized,Otu112,Candidatus Udaeobacter,Otu2077,Unrecognized,Otu3834,Unrecognized,Otu671,Unrecognized,,,Otu4686,Pirellula,,,,Otu3834,Unrecognized,Otu671,Unrecognized,Otu5016,RB41,Otu4686,Pirellula
30,,,,,,,,,trancom,Otu4622,Gemmatimonas,Otu2914,Gemmata,Otu1678,Gaiella,Otu2078,Unrecognized,Otu856,Unrecognized,Otu1034,Unrecognized,,,Otu3273,Unrecognized,,,,Otu856,Unrecognized,Otu1034,Unrecognized,Otu1171,Unrecognized,Otu3273,Unrecognized
31,,,,,,,,,trancom,Otu3524,Conexibacter,Otu1591,Unrecognized,Otu2532,RB41,Otu1256,Unrecognized,Otu1077,Unrecognized,Otu1071,Unrecognized,,,Otu477,Chthoniobacter,,,,Otu1077,Unrecognized,Otu1071,Unrecognized,Otu2141,Unrecognized,Otu477,Chthoniobacter
32,,,,,,,,,trancom,Otu1481,Gemmatirosa,Otu2080,Haliangium,Otu3523,Unrecognized,Otu1422,Unrecognized,Otu1652,Unrecognized,Otu1132,Unrecognized,,,Otu860,Unrecognized,,,,Otu1652,Unrecognized,Otu1132,Unrecognized,Otu74,Unrecognized,Otu860,Unrecognized
33,,,,,,,,,trancom,Otu3002,Gemmata,Otu2181,Unrecognized,Otu1543,Unrecognized,Otu6362,Unrecognized,Otu771,Bryobacter,Otu820,Unrecognized,,,Otu495,Candidatus Udaeobacter,,,,Otu771,Bryobacter,Otu820,Unrecognized,Otu3848,Unrecognized,Otu495,Candidatus Udaeobacter
34,,,,,,,,,trancom,Otu1035,Gemmatirosa,Otu974,Parviterribacter,Otu1576,Unrecognized,Otu1398,Unrecognized,Otu6822,Unrecognized,Otu908,Unrecognized,,,Otu1159,Unrecognized,,,,Otu6822,Unrecognized,Otu908,Unrecognized,Otu5525,Unrecognized,Otu1159,Unrecognized
35,,,,,,,,,trancom,Otu989,Unrecognized,Otu2214,Unrecognized,Otu3161,Unrecognized,Otu1147,Unrecognized,Otu1686,Phaselicystis,Otu1099,Unrecognized,,,Otu1740,Chthoniobacter,,,,Otu1686,Phaselicystis,Otu1099,Unrecognized,Otu210,Phaselicystis,Otu1740,Chthoniobacter
36,,,,,,,,,trancom,Otu4351,Roseimicrobium,Otu429,Unrecognized,Otu179,Unrecognized,Otu1968,Unrecognized,Otu510,Chitinophaga,Otu1108,metagenome,,,Otu2617,RB41,,,,Otu510,Chitinophaga,Otu1108,metagenome,Otu966,Unrecognized,Otu2617,RB41
37,,,,,,,,,trancom,Otu4157,Unrecognized,Otu350,Unrecognized,Otu322,Haliangium,Otu679,Unrecognized,Otu520,Unrecognized,Otu1950,Gemmatimonas,,,Otu1391,Unrecognized,,,,Otu520,Unrecognized,Otu1950,Gemmatimonas,Otu1183,Acinetobacter,Otu1391,Unrecognized
38,,,,,,,,,trancom,Otu1554,Candidatus Solibacter,Otu4027,Unrecognized,Otu90,MND1,Otu854,Bryobacter,Otu1858,Gemmatimonas,,,,,Otu713,Unrecognized,,,,Otu1858,Gemmatimonas,Otu1975,Unrecognized,Otu120,Unrecognized,Otu713,Unrecognized
39,,,,,,,,,trancom,Otu1315,Gemmata,Otu1571,Unrecognized,Otu1801,Unrecognized,Otu1870,Gemmatimonas,Otu1143,Unrecognized,,,,,Otu773,Unrecognized,,,,Otu1143,Unrecognized,Otu6044,Unrecognized,Otu2629,Unrecognized,Otu773,Unrecognized
40,,,,,,,,,trancom,Otu1968,Unrecognized,Otu3391,Segetibacter,Otu6657,Unrecognized,Otu744,Unrecognized,Otu34,Unrecognized,,,,,Otu1047,Aquicella,,,,Otu34,Unrecognized,Otu1590,Unrecognized,Otu3300,Unrecognized,Otu1047,Aquicella
